# Promyvion same-zone transition topology for zones 16 (Holla), 18 (Dem), 20 (Mea), 22 (Vahzl).
# Generated by tools/generate_promyvion_navigation.py from the local LandSandBoat checkout;
# regenerate rather than hand-edit. One row per island, forward receptacle/stream pair,
# return trigger and exit. forward availability is stream-open-evidence: a Memory Stream is
# OPEN only while live entity evidence says so (LSB opens the chosen stream for 180 seconds
# after its receptacle dies, then re-randomizes the choice; the choice itself is server-side
# and deliberately NOT recorded here). entity_server_id is the stream NPC to watch;
# paired_server_id is the receptacle whose death opens it. Landings marked unwalked are
# inferred from destination anchors and must not be spoken as verified.
record_id	zone	island_id	kind	group_id	name	anchor_x	anchor_z	anchor_y	radius	entity_server_id	paired_server_id	destination_island	landing_x	landing_z	landing_y	availability	window_seconds	source	confidence	note
22:forward:06	22	floor-1	forward	1	Floor 1: Portal S	-40.000	-360.000	-0.450	3	16867720	16867387	floor-2	-40.000	200.000	-0.450	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m3/warp_03; receptacle at (-40.000, -360.000, -1.000); event 32; landing inferred from destination anchor, unwalked
22:forward:07	22	floor-1	forward	1	Floor 1: Portal N	80.000	-40.000	-0.449	3	16867721	16867392	floor-2	-40.000	200.000	-0.450	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m4/warp_04; receptacle at (80.000, -40.000, -1.000); event 33; landing inferred from destination anchor, unwalked
22:forward:08	22	floor-2	forward	2	Floor 2: Portal N	-160.000	200.000	-0.449	3	16867718	16867439	floor-3	320.000	-280.000	-0.450	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m1/warp_01; receptacle at (-160.000, 200.000, -1.000); event 30; landing inferred from destination anchor, unwalked
22:forward:09	22	floor-2	forward	2	Floor 2: Portal S	-160.000	120.000	-0.450	3	16867719	16867446	floor-3	320.000	-280.000	-0.450	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m2/warp_02; receptacle at (-160.000, 120.000, -1.000); event 31; landing inferred from destination anchor, unwalked
22:forward:10	22	floor-3	forward	3	Floor 3: Portal W	160.000	-160.000	-0.449	3	16867723	16867504	floor-4	280.000	40.000	-0.449	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m6/warp_06; receptacle at (160.000, -160.000, -1.000); event 35; landing inferred from destination anchor, unwalked
22:forward:11	22	floor-3	forward	3	Floor 3: Portal N	240.000	-40.000	-0.449	3	16867724	16867511	floor-4	280.000	40.000	-0.449	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m7/warp_07; receptacle at (240.000, -40.000, -1.000); event 36; landing inferred from destination anchor, unwalked
22:forward:12	22	floor-3	forward	3	Floor 3: Portal S	240.000	-240.000	-0.450	3	16867725	16867518	floor-4	280.000	40.000	-0.449	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m8/warp_08; receptacle at (240.000, -240.000, -1.000); event 37; landing inferred from destination anchor, unwalked
22:forward:13	22	floor-3	forward	3	Floor 3: Portal E	360.000	-80.000	-0.450	3	16867726	16867525	floor-4	280.000	40.000	-0.449	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m9/warp_09; receptacle at (360.000, -80.000, -1.000); event 38; landing inferred from destination anchor, unwalked
22:forward:14	22	floor-4	forward	4	Floor 4: Portal SW	120.000	40.000	-0.449	3	16867722	16867601	floor-5	-40.000	0.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0m5/warp_05; receptacle at (120.000, 40.000, -1.000); event 34; landing inferred from destination anchor, unwalked
22:forward:15	22	floor-4	forward	4	Floor 4: Portal SE	440.000	40.000	-0.450	3	16867727	16867610	floor-5	-40.000	0.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0ma/warp_10; receptacle at (440.000, 40.000, -1.000); event 39; landing inferred from destination anchor, unwalked
22:forward:16	22	floor-4	forward	4	Floor 4: Portal NE	440.000	279.000	-0.449	3	16867728	16867619	floor-5	-40.000	0.000	0.000	stream-open-evidence	180	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	stream npc _0mb/warp_11; receptacle at (440.000, 280.000, -1.000); event 40; landing inferred from destination anchor, unwalked
22:return:02	22	floor-2	return		floor 2: Return to floor 1	-40.000	200.000	-0.450	3			floor-1	-14.744	-119.736	0.036	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 41; landing inferred from destination anchor, unwalked
22:return:03	22	floor-3	return		floor 3: Return to floor 2	320.000	-280.000	-0.450	3			floor-2	-40.000	200.000	-0.450	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 42; landing inferred from destination anchor, unwalked
22:return:04	22	floor-4	return		floor 4: Return to floor 3	280.000	40.000	-0.449	3			floor-3	320.000	-280.000	-0.450	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 43; landing inferred from destination anchor, unwalked
22:return:05	22	floor-5	return		floor 5: Return to floor 4	-40.000	0.000	0.000	3			floor-4	280.000	40.000	-0.449	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 44; landing inferred from destination anchor, unwalked
22:exit:01	22	floor-1	exit		Exit to Pso'Xja	0.000	-120.000	0.036	3			zone:9	-379.947	334.059	48.045	always	0	lsb:scripts/globals/promyvion.lua+scripts/zones/Promyvion-Vahzl/Zone.lua+sql/npc_list.sql+sql/mob_spawn_points.sql	lsb	event 45; landing is Zone.lua's own setPos
